Wars,Year,Summary,Resource Link
Insurgency in Laos,1975–present,"The insurgency in Laos refers to the ongoing, albeit sporadic, military conflict of the Third Indochina War between the Lao People's Army, and Vietnam People's Army opposed primarily by members of the former ""Secret Army"" or the Hmong people as well as various other ethnic lowland Lao insurgencies in Laos, who have faced governmental reprisals due to Royal Lao and Hmong support for the American-led, anti-communist campaigns in Laos during the Laotian Civil War—which is an extension to the war itself. The North Vietnamese invaded Laos in 1958-59 and supported the communist Pathet Lao. It continued on the day after the end of the civil war with the Pathet Lao's capture of the Laotian capital Vientiane, who overthrew the Royal Kingdom of Laos and established a new government known as the Lao People's Democratic Republic.
While severely depleted, the remnants of an early 1980s-era, and 1990s-era, Royalist insurgency has been kept alive by an occasionally active guerrilla force of several thousand or so successors to that force. In June 2007 Vang Pao was arrested in the US by allege plot to overthrow Laotian communist government. His arrest led to an end of attempt to overthrow Laotian government by the Hmong people, the royalists and the right wing rebellions.
A right-wing insurgency with foreign support has appeared to have continued into at least 2008, and thus the Laotian and Hmong insurgency remains by far the most active of the historical post-1975 trio of insurgencies known as the Hmong, Laotian and Lao Royalist-in-exile against the Pathet Lao, and Vietnamese People's Army which traces its origins from the World War II. The running time for the Insurgency in Laos has outlasted the previous Second World War, First Indochina War, Laotian Civil War, as well as the current for a time Vietnam-Cambodia Cold War combined.",https://en.wikipedia.org/wiki/Insurgency_in_Laos
Civil conflict in Turkey,1976–present,"Civil conflict in Turkey is an internal armed conflict in the modern history of Turkey. Instances of such civil conflict include:

the Political violence in Turkey (1976–80)
the Maoist insurgency in Turkey
Kurdish rebellions in Turkey (1920s-present)
the Kurdish–Turkish conflict (1978–present)
the Kurdish–Turkish conflict (2015–present)
the DHKP/C insurgency in Turkey
the Turkey–ISIL conflict",https://en.wikipedia.org/wiki/Civil_conflict_in_Turkey
Shaba I,1977,"Shaba I was a conflict in Zaire's Shaba (Katanga) Province lasting from March 8, 1977, to May 26, 1977. The conflict began when the Front for the National Liberation of the Congo (FNLC), a group of about 2,000 Katangan Congolese soldiers (veterans of the Congo Crisis, the Angolan War of Independence, and the Angolan Civil War) crossed the border into Shaba from Angola. The FNLC made quick progress through the region, due to sympathizing locals and to the disorganization of the Zairian military (Forces Armées Zaïroises, or FAZ). Traveling east from Zaire's border with Angola, the rebels reached Mutshatsha, a small town near to the key mining town of Kolwezi.
President Mobutu Sese Seko of Zaire accused Angola, East Germany, Cuba, and the Soviet Union of sponsoring the rebels. Motivated by anti-Communism and by economic interests, the Western Bloc and China sent assistance to support the Mobutu regime. The most significant intervention, orchestrated by the Safari Club, featured a French airlift of Moroccan troops into the war zone. This intervention turned the tide of the conflict. U.S. President Jimmy Carter approved the shipment of supplies to Zaire, but refused to send weapons or troops and maintained that there was no evidence of Cuban involvement.
The FAZ terrorized the population of the province during and after the war. Bombing and other acts of violence led 50,000–70,000 refugees to flee into Angola and Zambia. Journalists were prevented from entering the Province and several were arrested. Mobutu nevertheless won a public relations victory and ensured continuing economic assistance from governments, from the International Monetary Fund and World Bank, and from a group of private lenders led by Citibank.
The FAZ and outside powers clashed again with insurgents in the 1978 conflict called Shaba II.",https://en.wikipedia.org/wiki/Shaba_I
Ogaden War,1977–1978,"The Ogaden War was a Somali military offensive between July 1977 and March 1978 over the disputed Ethiopian region of Ogaden, which began with the Somali invasion of Ethiopia. The Soviet Union disapproved of the invasion and ceased its support of Somalia, instead starting to support Ethiopia; the United States, conversely, ceased its support of Ethiopia and started supporting Somalia. Ethiopia was saved from a major defeat and a permanent loss of territory through a massive airlift of military supplies (worth $7 billion), the arrival of 16,000 Cuban troops, 1,500 Soviet advisors and two brigades from South Yemen, also airlifted to reinforce Harar. The Ethiopians prevailed at Harar, Dire Dawa and Jijiga, and began to push the Somalis systematically out of the Ogaden. By March 1978, the Ethiopians had captured almost all of the Ogaden, prompting the defeated Somalis to give up their claim to the region. A third of the initial Somali National Army invasion force was killed, and half of the Somali Airforce destroyed; the war left Somalia with a disorganized and demoralized army and an angry population. All of these conditions led to a revolt in the army which eventually spiraled into a civil war and Somalia's current situation.",https://en.wikipedia.org/wiki/Ogaden_War
Cambodian-Vietnamese War,1977–1991,"The Cambodian–Vietnamese War (Khmer: សង្គ្រាមកម្ពុជា-វៀតណាម), known in Vietnam as the Counter-offensive on the Southwestern border (Vietnamese: Chiến dịch Phản công Biên giới Tây-Nam), was an armed conflict between the Socialist Republic of Vietnam and Democratic Kampuchea. The war began with isolated clashes along the land and maritime boundaries of Vietnam and Kampuchea between 1975 and 1978, occasionally involving division-sized military formations. On 25 December 1978, Vietnam launched a full-scale invasion of Kampuchea and subsequently occupied the country and removed the Communist Party of Kampuchea government from power.
During the Vietnam War, Vietnamese and Cambodian communists had formed an alliance to fight U.S.-backed regimes in their respective countries. Despite their open display of cooperation with the Vietnamese, the Khmer Rouge leadership feared that the Vietnamese communists were scheming to form an Indochinese federation with Vietnam as the dominant force in the region. In order to preempt an attempt by the Vietnamese to dominate them, the Khmer Rouge leadership began purging Vietnamese-trained personnel within their own ranks as the Lon Nol regime capitulated in 1975. Then, in May 1975, the newly formed Democratic Kampuchea, dominated by the Khmer Rouge, began attacking Vietnam, beginning with an attack on the Vietnamese island of Phú Quốc. 
In spite of the fighting, the leaders of reunified Vietnam and Kampuchea made several public diplomatic exchanges throughout 1976 to highlight the supposedly strong relations between them. However, behind the scenes, Kampuchean leaders continued to fear what they perceived as Vietnamese expansionism. Therefore, on 30 April 1977, they launched another major military attack on Vietnam. Shocked by the Kampuchean assault, Vietnam launched a retaliatory strike at the end of 1977 in an attempt to force the Kampuchean government to negotiate. In January 1978, the Vietnamese military withdrew because their political objectives had not been achieved; the Khmer Rouge remained unwilling to seriously negotiate.
Small-scale fighting continued between the two countries throughout 1978, as China tried to mediate peace talks between the two sides. However, neither country would agree to an acceptable compromise. By the end of 1978, Vietnamese leaders decided to remove the Khmer Rouge-dominated regime of Democratic Kampuchea, perceiving it as being pro-Chinese and hostile towards Vietnam. On 25 December 1978, 150,000 Vietnamese troops invaded Democratic Kampuchea and overran the Kampuchean Revolutionary Army in just two weeks, thereby ending the excesses of Pol Pot's regime which had been responsible for the deaths of almost a quarter of all Cambodians between 1975 and December 1978. Vietnamese military intervention and the occupying forces' subsequent allowing in of international food aid to mitigate the massive famine is viewed as ending the Cambodian genocide.On 8 January 1979, the pro-Vietnamese People's Republic of Kampuchea (PRK) was established in Phnom Penh, marking the beginning of a ten-year Vietnamese occupation. During that period, the Khmer Rouge's Democratic Kampuchea continued to be recognised by the United Nations as the legitimate government of Kampuchea, as several armed resistance groups were formed to fight the Vietnamese occupation. Behind the scenes, Prime Minister Hun Sen of the PRK regime approached factions of the Coalition Government of Democratic Kampuchea (CGDK) to begin peace talks. Under diplomatic and economic pressure from the international community, the Vietnamese government implemented a series of economic and foreign policy reforms, which led to their withdrawal from Kampuchea in September 1989.
At the Third Jakarta Informal Meeting in 1990, under the Australian-sponsored Cambodian Peace Plan, representatives of the CGDK and the PRK agreed to a power-sharing arrangement by forming a unity government known as the Supreme National Council (SNC). The SNC's role was to represent Cambodian sovereignty on the international stage, while the United Nations Transitional Authority in Cambodia (UNTAC) was tasked with supervising the country's domestic policies until a Cambodian government was elected by the people. Cambodia's pathway to peace proved to be difficult, as Khmer Rouge leaders decided not to participate in the general elections, but instead they chose to disrupt the electoral process by launching military attacks on UN peacekeepers and killing ethnic Vietnamese migrants. In May 1993, Sihanouk's FUNCINPEC movement defeated the Cambodian People's Party (CPP), formerly the Kampuchean People's Revolutionary Party (KPRP), to win the general elections. However, the CPP leadership refused to accept defeat, and they announced that the eastern provinces of Cambodia, where most of the CPP's votes were drawn from, would secede from Cambodia. To avoid such an outcome, Norodom Ranariddh, the leader of FUNCINPEC, agreed to form a coalition government with the CPP. Shortly afterwards, the constitutional monarchy was restored and the Khmer Rouge was outlawed by the newly formed Cambodian government.",https://en.wikipedia.org/wiki/Cambodian-Vietnamese_War
Mozambican Civil War,1977–1992,"The Mozambican Civil War was a civil war fought in Mozambique from 1977 to 1992. Like many regional African conflicts during the late twentieth century, the Mozambican Civil War possessed local dynamics but was also exacerbated greatly by the polarizing effects of Cold War politics. The war was fought between Mozambique's ruling Marxist Front for the Liberation of Mozambique (FRELIMO) and anti-communist insurgent forces of the Mozambican National Resistance (RENAMO).RENAMO opposed FRELIMO's attempts to establish a socialist one-party state, and was heavily backed by the anti-communist governments in Rhodesia and South Africa. For their part, the Rhodesian and South African defence establishments used RENAMO as a proxy to erode FRELIMO support for militant nationalist organisations in their own countries and to disrupt FRELIMO's socialist goals. Over one million Mozambicans were killed in the fighting or starved due to interrupted food supplies; an additional five million were displaced across the region. The Mozambican Civil War destroyed much of Mozambique's critical rural infrastructure, including hospitals, rail lines, roads, and schools. FRELIMO's security forces and RENAMO insurgents were accused of committing numerous human rights abuses, including using child soldiers and salting a significant percentage of the countryside indiscriminately with land mines. Three neighboring states—Zimbabwe, Tanzania, and Malawi—eventually deployed troops into Mozambique to defend their own vested economic interests against RENAMO attacks.The Mozambican Civil War ended in 1992, following the collapse of Soviet and South African support for FRELIMO and RENAMO, respectively. Direct peace talks began around 1990 with the mediation of the Mozambican Church Council and the Italian government; these culminated in the Rome General Peace Accords which formally ended hostilities.  As a result of the Rome General Peace Accords, RENAMO units were demobilised or integrated into the Mozambican armed forces and the United Nations Operation in Mozambique (ONUMOZ) was formed to aid in postwar reconstruction. Tensions between RENAMO and FRELIMO flared again between 2013 and 2018, prompting the former to resume its insurgency.",https://en.wikipedia.org/wiki/Mozambican_Civil_War
Chittagong Hill Tracts conflict,1977–1997,"The Chittagong Hill Tracts conflict was a political and armed conflict between the government of Bangladesh and the Parbatya Chattagram Jana Sanghati Samiti (United People's Party of the Chittagong Hill Tracts) and its armed wing, the Shanti Bahini, over the issue of autonomy and the land rights of Jumma people, Chakma people and the other indigenous of Chittagong Hill Tracts. Shanti Bahini launched an insurgency against government forces in 1977, when the country was under military rule, and the conflict continued for twenty years until the government and the PCJSS signed the Chittagong Hill Tracts Peace Accord in 1997.The actions carried out by the armed forces and the paramilitary groups helping them have been projected by tribals as genocide and ethnic cleansing. There have been reports of mass rapes by the paramilitary Bangladesh Ansars, though these have been disputed.According to Amnesty International as of June 2013 the Bangladeshi government made ""praiseworthy progress"" in implementing the terms of the peace accord and in addressing the Jumma people's concerns over the return of their land. Amnesty estimate that there are currently only 900 internally displaced Jumma families.",https://en.wikipedia.org/wiki/Chittagong_Hill_Tracts_conflict
Shaba II,1978,"Shaba II was a brief conflict fought in the Zairean province of Shaba (now Katanga) in 1978. The conflict broke out on 11 May 1978 after 6,500 rebels from the Congolese National Liberation Front (FNLC), a Katangese separatist militia, crossed the border from Angola into Zaire in an attempt to achieve the province's secession from the Zairian regime of Mobutu Sese Seko. The FNLC captured the important mining town of Kolwezi.The Mobutist government appealed for foreign assistance and French and Belgian military intervention beat back the invasion just as in 1977.The U.S. and Cuba coerced Angola and Zaire into negotiations leading to a non-aggression pact. This ended support for insurgencies in each other's respective countries. Zaire temporarily cutoff support to the Front for the Liberation of the Enclave of Cabinda (FLEC), the National Liberation Front of Angola (FNLA), and National Union for the Total Independence of Angola (UNITA) and Angola forbade further activity by the Shaba separatists.The U.S. worked with France in repelling the invaders, the first military cooperation between the two nations since the Vietnam War. U.S. Air Force elements involved included a Combat Control Team (air traffic controllers) of the 435th Tactical Airlift Wing, the 445th Military Airlift Wing, and other airlift wings.",https://en.wikipedia.org/wiki/Shaba_II
Uganda–Tanzania War,1978–1979,"The Uganda–Tanzania War, known in Tanzania as the Kagera War (Kiswahili: Vita vya Kagera) and in Uganda as the 1979 Liberation War, was fought between Uganda and Tanzania from October 1978 until June 1979, and led to the overthrow of Idi Amin's regime.  Idi Amin's forces included thousands of troops sent by Libya.",https://en.wikipedia.org/wiki/Uganda%E2%80%93Tanzania_War
NDF Rebellion,1978–1982,"The NDF Rebellion was an uprising in the Yemen Arab Republic by the National Democratic Front, under Yahya Shami, between 1978 and 1982.",https://en.wikipedia.org/wiki/NDF_Rebellion
Chadian–Libyan conflict,1978–1987,"The Chadian–Libyan conflict was a series of sporadic clashes in Chad between 1978 and 1987 between Libyan and Chadian forces. Libya had been involved in Chad's internal affairs prior to 1978 and before Muammar Gaddafi's rise to power in Libya in 1969, beginning with the extension of the Chadian Civil War to northern Chad in 1968. The conflict was marked by a series of four separate Libyan interventions in Chad, taking place in 1978, 1979, 1980–1981 and 1983–1987. In all of these occasions Gaddafi had the support of a number of factions participating in the civil war, while Libya's opponents found the support of the French government, which intervened militarily to save the Chadian government in 1978, 1983 and 1986.
The pattern of the war delineated itself in 1978, with the Libyans providing armour, artillery and air support and their Chadian allies the infantry, which assumed the bulk of the scouting and fighting. This pattern was radically changed in 1986, towards the end of the war, when most Chadian forces united in opposing the Libyan occupation of northern Chad with a degree of unity that had never been seen before in Chad. This deprived the Libyan forces of their habitual infantry, exactly when they found themselves confronting a mobile army, well provided now by the United States, Zaire and France with anti-tank and anti-air missiles, thus cancelling the Libyan superiority in firepower. What followed was the Toyota War, in which the Libyan forces were routed and expelled from Chad, putting an end to the conflict.
Gaddafi initially intended to annex the Aouzou Strip, the northernmost part of Chad, which he claimed as part of Libya on the grounds of an unratified treaty of the colonial period. In 1972 his goals became, in the evaluation of historian Mario Azevedo, the creation of a client state in Libya's ""underbelly"", an Islamic republic modelled after his jamahiriya, that would maintain close ties with Libya, and secure his control over the Aouzou Strip; expulsion of the French from the region; and use of Chad as a base to expand his influence in Central Africa.",https://en.wikipedia.org/wiki/Chadian%E2%80%93Libyan_conflict
Yemenite War of 1979,1979,"The Yemenite War of 1979 was a short military conflict between North and South Yemen. The war developed out of a breakdown in relations between the two countries after the president of North Yemen, Ahmad al-Ghashmi, was killed on 24 June 1978 and Salim Rubai Ali, a moderate Marxist who had been working on a proposed merger between the two Yemens, was murdered two days later. The hostility of the rhetoric from the new leadership of both countries escalated, leading to small scale border fighting, which then in turn escalated into a full blown war in February 1979. North Yemen appeared on the edge of a decisive defeat after a three-front invasion by South Yemeni combined arms formation, however this was prevented by a successful mediation in the form of the Kuwait Agreement of 1979, which resulted in Arab League forces being deployed to patrol the North-South border. An agreement to unite both countries was also signed, although was not implemented.",https://en.wikipedia.org/wiki/Yemenite_War_of_1979
Soviet–Afghan War,1979–1989,"The Soviet–Afghan War lasted over nine years, from December 1979 to February 1989. Insurgent groups known collectively as the mujahideen, as well as smaller Maoist groups, fought a guerrilla war against the Soviet Army and the Democratic Republic of Afghanistan government, mostly in the rural countryside. The mujahideen groups were backed primarily by the United States, Saudi Arabia, and Pakistan, making it a Cold War proxy war. Between 562,000 and 2,000,000 civilians were killed and millions of Afghans fled the country as refugees, mostly to Pakistan and Iran.
The war derives from a 1978 coup when Afghanistan's communist party took power, initiating a series of radical modernization reforms throughout the country that were forced and deeply unpopular, particularly among the more traditional rural population and the established traditional power structures. The regime's nature of vigorously suppressing opposition, including executing thousands of political prisoners, led to the rise of anti-government armed groups, and by April 1979 large parts of the country were in open rebellion. The ruling party itself experienced deep rivalries, and in September 1979 the President, Nur Mohammad Taraki, was murdered under orders of the second-in-command, Hafizullah Amin, which soured relations with the Soviet Union. Eventually the Soviet government, under leader Leonid Brezhnev, decided to deploy the 40th Army on December 24, 1979. Arriving in the capital Kabul, they staged a coup, killing president Amin and installing Soviet loyalist Babrak Karmal from a rival faction. The deployment had been variously called an ""invasion"" (by Western media and the rebels) or a legitimate supporting intervention (by the Soviet Union and the Afghan government) on the basis of the Brezhnev Doctrine.
In January 1980, foreign ministers from 34 nations of the Islamic Conference adopted a resolution demanding ""the immediate, urgent and unconditional withdrawal of Soviet troops"" from Afghanistan. The UN General Assembly passed a resolution protesting the Soviet intervention by a vote of 104 (for) to 18 (against), with 18 abstentions and 12 members of the 152-nation Assembly absent or not participating in the vote; only Soviet allies Angola, East Germany and Vietnam, along with India, supported the intervention. Afghan insurgents began to receive massive amounts of aid and military training in neighboring Pakistan and China, paid for primarily by the United States and Arab monarchies in the Persian Gulf. As documented by the National Security Archive, ""the Central Intelligence Agency (CIA) played a significant role in asserting U.S. influence in Afghanistan by funding military operations designed to frustrate the Soviet invasion of that country. CIA covert action worked through Pakistani intelligence services to reach Afghan rebel groups."" Soviet troops occupied the cities and main arteries of communication, while the mujahideen waged guerrilla war in small groups operating in the almost 80 percent of the country that was outside government and Soviet control, almost exclusively being the rural countryside. The Soviets used their air power to deal harshly with both rebels and civilians, levelling villages to deny safe haven to the mujahideen, destroying vital irrigation ditches, and laying millions of land mines.The international community imposed numerous sanctions and embargoes against the Soviet Union, and the U.S. led a boycott of the 1980 Summer Olympics held in Moscow. The boycott and sanctions exacerbated Cold War tensions and enraged the Soviet government, which later led a revenge boycott of the 1984 Olympics held in Los Angeles. The Soviets initially planned to secure towns and roads, stabilize the government under new leader Karmal, and withdraw within six months or a year. But they were met with fierce resistance from the guerillas, and were stuck in a bloody war that lasted nine years. By the mid-1980s, the Soviet contingent was increased to 108,800 and fighting increased, but the military and diplomatic cost of the war to the USSR was high. By mid-1987 the Soviet Union, now under reformist leader Mikhail Gorbachev, announced it would start withdrawing its forces after meetings with the Afghan government. The final troop withdrawal started on May 15, 1988, and ended on February 15, 1989, leaving the government forces alone in the battle against the insurgents, which continued until 1992 when the former Soviet-backed government collapsed. Due to its length, it has sometimes been referred to as the ""Soviet Union's Vietnam War"" or the ""Bear Trap"" by the Western media. The Soviets' failure in the war is thought to be a contributing factor to the fall of the Soviet Union.",https://en.wikipedia.org/wiki/Soviet%E2%80%93Afghan_War
Sino-Vietnamese War,1979,"The Sino-Vietnamese War (Vietnamese: Chiến tranh biên giới Việt-Trung; simplified Chinese: 中越战争; traditional Chinese: 中越戰爭; pinyin: Zhōng-Yuè Zhànzhēng), also known as the Third Indochina War, was a brief border war fought between China and Vietnam in early 1979. China launched a punitive expedition in response to Vietnam's invasion and occupation of Cambodia in 1978 (which ended the rule of the Chinese-backed Khmer Rouge).
Chinese forces entered northern Vietnam and captured several cities near the border. On March 6, 1979, China declared that the gate to Hanoi was open and that their punitive mission had been achieved. Chinese troops then withdrew from Vietnam. Both China and Vietnam claimed victory in the last of the Indochina Wars. As Vietnamese troops remained in Cambodia until 1989, China remained unsuccessful in its goal of dissuading Vietnam from involvement in Cambodia. Following the dissolution of the Soviet Union in 1991, the Sino-Vietnamese border was finalized.
Although unable to deter Vietnam from Cambodia, China succeeded in demonstrating that its Cold War communist adversary, the Soviet Union, was unable to protect its Vietnamese ally.",https://en.wikipedia.org/wiki/Sino-Vietnamese_War
Internal conflict in Peru,1980–present,"The internal conflict in Peru is an ongoing armed conflict between the Government of Peru, the Communist Party of Peru (also known as Shining Path or ""PCP-SL"") and the Túpac Amaru Revolutionary Movement. The conflict began on May 17, 1980. It is estimated that there have been nearly 70,000 deaths, making it the bloodiest war in Peruvian history, since the European colonization of the country.
The high death toll includes many civilian casualties, due to deliberate targeting by many factions. Since 2000, the number of deaths has dropped significantly and recently the conflict has become dormant. There were low-level resurgences of violence in 2002 and 2014 when conflict erupted between the Peruvian Army and Guerrilla remnants in the VRAEM region. The conflict has lasted for over 39 years, making it the second longest internal conflict in the history of Latin America, after the Colombian armed conflict.",https://en.wikipedia.org/wiki/Internal_conflict_in_Peru
1982 Ethiopian–Somali Border War,1982,"The 1982 Ethiopian–Somali Border War occurred between June and August 1982 when Ethiopia, sending a 10,000 man invasion force backed by warplanes and armored units, supported by hundreds of SSDF rebels invaded Central Somalia. Siad Barre's regime managed to ultimately repel most of the rebel offensive through declaring a state of emergency in the war zone. The United States government responded by speeding up deliveries of light arms and Pattons already promised. In addition, the initially pledged US$45 million in economic and military aid was increased to US$80 million.",https://en.wikipedia.org/wiki/1982_Ethiopian%E2%80%93Somali_Border_War
Sri Lankan Civil War,1983–2009,"The Sri Lankan Civil War (Tamil: ஈழப் போர்; Sinhala: ශ්‍රී ලංකාවේ ත්‍රස්තවාදය) was an armed conflict fought on the island of Sri Lanka. Beginning on 23 July 1983, there was an intermittent insurgency against the government by the Liberation Tigers of Tamil Eelam (the LTTE, also known as the Tamil Tigers), which fought to create an independent Tamil state called Tamil Eelam in the north and the east of the island. After a 26-year military campaign, the Sri Lankan military defeated the Tamil Tigers in May 2009, bringing the civil war to an end.For over 25 years, the war caused significant hardships for the population, environment and the economy of the country, with an initial estimated 80,000–100,000 people killed during its course. In 2013, the UN panel estimated additional deaths during the last phase of the war: ""Around 40,000 died while other independent reports estimated the number of civilians dead to exceed 100,000."" During the early part of the conflict, the Sri Lankan forces attempted to retake the areas captured by the LTTE. The tactics employed by the Liberation Tigers of Tamil Eelam against the actions of Government forces resulted in their listing as a terrorist organisation in 32 countries, including the United States, India, Canada and the member nations of the European Union. The Sri Lankan government forces have also been accused of human rights abuses, systematic impunity for serious human rights violations, lack of respect for habeas corpus in arbitrary detentions, and forced disappearances.After two decades of fighting and four failed tries at peace talks, including the unsuccessful deployment of the Indian Army, the Indian Peace Keeping Force from 1987 to 1990, a lasting negotiated settlement to the conflict appeared possible when a cease-fire was declared in December 2001, and a ceasefire agreement signed with international mediation in 2002. However, limited hostilities renewed in late 2005 and the conflict began to escalate until the government launched a number of major military offensives against the LTTE beginning in July 2006, driving the LTTE out of the entire Eastern province of the island. The LTTE then declared they would ""resume their freedom struggle to achieve statehood"".In 2007, the government shifted its offensive to the north of the country, and formally announced its withdrawal from the ceasefire agreement on 2 January 2008, alleging that the LTTE violated the agreement over 10,000 times. Since then, aided by the destruction of a number of large arms smuggling vessels that belonged to the LTTE, and an international crackdown on the funding for the Tamil Tigers, the government took control of the entire area previously controlled by the Tamil Tigers, including their de facto capital Kilinochchi, main military base Mullaitivu and the entire A9 highway, leading the LTTE to finally admit defeat on 17 May 2009.  Following the LTTE's defeat, pro-LTTE Tamil National Alliance dropped its demand for a separate state, in favour of a federal solution. In May 2010, Mahinda Rajapaksa, the then president of Sri Lanka, appointed the Lessons Learnt and Reconciliation Commission (LLRC) to assess the conflict between the time of the ceasefire agreement in 2002 and the defeat of the LTTE in 2009.",https://en.wikipedia.org/wiki/Sri_Lankan_Civil_War
Thai–Laotian Border War,1987–1988,"The Thai–Laotian Border War (December 1987 – February 1988) was a short confrontation between Thai and Laotian forces. It involved a dispute over the map made by French surveyors in 1907 to mark the borders between Siam and French Indochina in the southern Luang Prabang Range. Ownership of the village of Ban Romklao on the border of Phitsanulok Province and three small border villages on the edge of Uttaradit Province was left unclear. This is the same map underlying the Cambodian–Thai border dispute. The agreed criterion for determining ownership was the natural watershed, but the French map makers at times ignored this.A series of minor shooting incidents had occurred between Thai and Laotian forces in 1984. In December 1987, however, Thai armed forces occupied the disputed village of Ban Romklao, raising the Thai flag over it. The government of the Lao People's Democratic Republic protested strongly, insisting the village was part of Botene District of Sainyabuli Province. Thailand replied that the village belonged to Chat Trakan District (amphoe) of  Phitsanulok Province. Laotian Army forces staged a night attack on the small Thai garrison, driving the Thai soldiers from the village and replacing the Thai flag with that of the Lao PDR. Serious fighting followed, continuing for weeks until a cease-fire was declared on 19 February 1988.
The brief war claimed a total of about 1,000 casualties, the Thais suffering more heavily since for much of the war they were attacking entrenched Laotian positions. Gen Chavalit Yongchaiyudh was the commander of the Royal Thai Army at the time of the war and was criticized for engaging in it against the wishes of the Thai Ministry of Foreign Affairs. Vietnam had assisted its socialist ally, sending troops from its 2nd Division to Baan Nakok air field in Sainyabuli to support the Laotian military operations, amidst the border clashes with Thailand along the Thai–Cambodian border.",https://en.wikipedia.org/wiki/Thai%E2%80%93Laotian_Border_War
Afghan Civil War (1989–92),1989–1992,"This article covers the Afghan history from the Soviet withdrawal from Afghanistan on 15 February 1989 
until 27 April 1992, the day after the proclamation of the Peshawar Accords proclaiming a new interim Afghan government which was supposed to start serving on 28 April 1992.
Mujahideen groups, some of them more or less united in the Islamic Unity of Afghanistan Mujahideen, in the years 1989–1992 proclaimed as their conviction that they were battling the hostile ""puppet regime"" of the Republic of Afghanistan in Kabul. In March 1989, the mujahideen groups Hezbi Islami and Ittihad-i Islami in cooperation with the Pakistani Inter-Services Intelligence (ISI) attacked Jalalabad but they were defeated by June.
In March 1991, a mujahideen coalition quickly conquered the city of Khost. In March 1992, having lost the last remnants of Soviet support, President Mohammad Najibullah agreed to step aside and make way for a mujahideen coalition government. One mujahideen group, Hezbi Islami, refused to confer and discuss a coalition government under the Pakistani sponsored Peshawar Peace Accords and invaded Kabul. This kicked off a civil war, starting 25 April 1992, between initially three, but within weeks five or six mujahideen groups or armies.",https://en.wikipedia.org/wiki/Afghan_Civil_War_(1989%E2%80%9392)
